,Date,Time,Open,High,Low,Close,Total Volume,Period Volume
3677,2008-06-13,12:18:00,135.87,135.87,135.84,135.86,132318776.0,189576.0
3678,2008-06-13,12:19:00,135.86,135.9,135.83,135.86,132566432.0,247656.0
3679,2008-06-13,12:20:00,135.86,135.89,135.86,135.87,132640085.0,166653.0
3680,2008-06-13,12:21:00,135.86,135.87,135.79,135.81,132709357.0,69272.0
3681,2008-06-13,12:22:00,135.8,135.81,135.76,135.8,133012134.0,302777.0
3682,2008-06-13,12:23:00,135.8,135.84,135.78,135.78,133411441.0,399307.0
3683,2008-06-13,12:24:00,135.78,135.79,135.74,135.75,133770566.0,359125.0
3684,2008-06-13,12:25:00,135.76,135.77,135.75,135.75,133836741.0,66175.0
3685,2008-06-13,12:26:00,135.75,135.75,135.72,135.73,134136918.0,300177.0
3686,2008-06-13,12:27:00,135.74,135.78,135.73,135.75,134305964.0,169046.0
3687,2008-06-13,12:28:00,135.76,135.76,135.74,135.75,134403874.0,97910.0
3688,2008-06-13,12:29:00,135.76,135.81,135.76,135.78,134573232.0,169358.0
3689,2008-06-13,12:30:00,135.78,135.81,135.75,135.76,134761864.0,188632.0
3690,2008-06-13,12:31:00,135.76,135.78,135.72,135.74,134966767.0,204903.0
3691,2008-06-13,12:32:00,135.74,135.77,135.74,135.76,135002158.0,35391.0
3692,2008-06-13,12:33:00,135.76,135.86,135.75,135.85,135333901.0,331743.0
3693,2008-06-13,12:34:00,135.86,135.88,135.85,135.87,135369417.0,35516.0
3694,2008-06-13,12:35:00,135.88,135.9,135.87,135.88,135745126.0,376209.0
3695,2008-06-13,12:36:00,135.88,135.9,135.87,135.88,135831441.0,86315.0
3696,2008-06-13,12:37:00,135.88,135.93,135.86,135.87,135858387.0,26946.0
3697,2008-06-13,12:38:00,135.87,135.87,135.82,135.84,136023559.0,165172.0
3698,2008-06-13,12:39:00,135.84,135.86,135.82,135.84,136117082.0,93523.0
3699,2008-06-13,12:40:00,135.83,135.83,135.53,135.53,136900734.0,783652.0
3700,2008-06-13,12:41:00,135.54,135.59,135.45,135.55,138245769.0,1345035.0
3701,2008-06-13,12:42:00,135.55,135.56,135.41,135.42,139484866.0,1239097.0
3702,2008-06-13,12:43:00,135.42,135.45,135.37,135.41,140649362.0,1164496.0
3703,2008-06-13,12:44:00,135.42,135.52,135.41,135.51,141726445.0,827083.0
